,cluster,salient_topics,example_ai_papers,example_non_ai_papers
18,cluster_18,"ct_pulmonary_imaging_chest_ct_abnormal
auc_triage_calibration_low-risk_prediction_models
classification_images_deep_learning_training_learning","AI-based multi-modal integration of clinical characteristics, lab tests and chest CTs improves COVID-19 outcome prediction of hospitalized patients
Towards computer-aided severity assessment: training and validation of
  deep neural networks for geographic extent and opacity extent scoring of
  chest X-rays for SARS-CoV-2 lung disease severity","Validating a Widely Implemented Deterioration Index Model Among Hospitalized COVID-19 Patients
A globally available COVID-19 - Template for clinical imaging studies"
19,cluster_19,"team_bangladesh_remote_layer_virtual
events_threat_political_focusing_dissemination
dataset_accuracy_datasets_techniques_machine_learning","Deep Learning System to Screen Coronavirus Disease 2019 Pneumonia
Independent Component Analysis for Trustworthy Cyberspace during High
  Impact Events: An Application to Covid-19","Assessing the Potential Impact of COVID-19 in Brazil: Mobility, Morbidity and the Burden on the Health Care System
Would India Really Touch the Peak of SARS COVID 19 Cases or Deaths in Near Future"
20,cluster_20,"number_daily_expected_numbers_trend
epidemic_peak_epidemics_mathematical_model_reproduction_number
india_rise_indian_active_cases_june","On the estimation of the total number of SARS-CoV-2 infections
Predicting the COVID-19 positive cases in India with concern to Lockdown by using Mathematical and Machine Learning based Models","SARS-CoV-2 infection in London, England: Impact of lockdown on community point-prevalence, March-May 2020
Universal Masking is Urgent in the COVID-19 Pandemic: SEIR and Agent
  Based Models, Empirical Validation, Policy Recommendations"
21,cluster_21,"cfr_case_fatality_rate_across_countries_case_fatality_rates_lethality
prevalence_burden_general_population_practice_elderly
deaths_death_rates_projected_death_rate_weekly",News from the front: Excess mortality and life expectancy in two major epicentres of the COVID-19 pandemic in Italy,"The Longevity-Frailty Hypothesis: Evidence from COVID-19 Death Rates in Europe
Monitoring trends and differences in COVID-19 case fatality rates using decomposition methods: Contributions of age structure and age-specific fatality"
22,cluster_22,"children_adults_adult_pediatric_supportive
prone_conjunctival_neurological_mt_ocular
patients_enrolled_one_patient","Incidence of COVID-19 in a cohort of adult and paediatric patients with rheumatic diseases treated with targeted biologic and synthetic disease-modifying anti-rheumatic drugs
Incidence of COVID-19 in a cohort of adult and paediatric patients with rheumatic diseases treated with targeted biologic and synthetic disease-modifying anti-rheumatic drugs","No SARS-CoV-2 carriage observed in children attending daycare centers during the first weeks of the epidemic in Belgium.
A Territory-Wide Study of COVID-19 Cases and Clusters with Unknown Source in Hong Kong Community: A Clinical, Epidemiological and Phylogenomic Investigation"
23,cluster_23,"de_always_ncovid-_qtc_gradient
clinical_trials_hydroxychloroquine_trials_remdesivir_hcq
chloroquine_dose_sarscov_administered_mg","Ocular toxicity and Hydroxychloroquine: A Rapid Meta-Analysis
Ocular toxicity and Hydroxychloroquine: A Rapid Meta-Analysis","Plasma concentration and safety of lopinavir/ritonavir in patients with Covid-19: a retrospective cohort study
Crucial Inflammatory Mediators and Efficacy of Drug Interventions in
  Pneumonia Inflated COVID-19: An Invivo Mathematical Modelling Study"
24,cluster_24,"household_members_close_contacts_school_closures_attack_rate
conduct_doctors_allocation_registration_cover
residents_percent_physicians_descriptive_programs","On the Generation of Medical Dialogues for COVID19
On the Generation of Medical Dialogues for COVID-19","Geo temporal distribution of 1,688 Chinese healthcare workers infected with COVID-19 in severe conditions, a secondary data analysis
Correlation analysis of risk factors and GSI score of a medical team assisting Wuhan city during the epidemic of COVID-19 in China -A cohort study"
25,cluster_25,"specimens_viral_load_swabs_collection_swab
antibodies_antibody_igg_igm_sera
diagnosis_rt-pcr_diagnostic_suspected_sensitivity_specificity","Coswara -- A Database of Breathing, Cough, and Voice Sounds for COVID-19
  Diagnosis
Weakly Supervised Deep Learning for COVID-19 Infection Detection and
  Classification from CT Images","Assessment of a serological diagnostic kit of sars-cov-2 availble in Iran
Analysis and Prediction of False Negative Results for SARS-CoV-2 Detection with Pharyngeal Swab Specimen in COVID-19 Patients: A Retrospective Study"
26,cluster_26,"assay_assays_rt-qpcr_dna_diagnostics
antibodies_antibody_igg_igm_sera
detection_sensitivity_detect_detecting_sensitive","Interpretable detection of novel human viruses from genome sequencing data
Serological signatures of SARS-CoV-2 infection: Implications for antibody-based diagnostics","A SIMPLE COLORIMETRIC MOLECULAR DETECTION OF NOVEL CORONAVIRUS (COVID-19), AN ESSENTIAL DIAGNOSTIC TOOL FOR PANDEMIC SCREENING
Capsid integrity quantitative PCR to determine virus infectivity in environmental and food applications; a systematic review"
27,cluster_27,"women_pregnant_women_pregnancy_delivery_adverse
kidney_nasal_olfactory_route_respiratory_tract
patients_enrolled_one_patient","Augmented Curation of Unstructured Clinical Notes from a Massive EHR System Reveals Specific Phenotypic Signature of Impending COVID-19 Diagnosis
Predicting Mortality Risk in Viral and Unspecified Pneumonia to Assist
  Clinicians with COVID-19 ECMO Planning","Breastfeeding of Infants Born to Mothers with COVID-19: A Rapid Review
Maternal and neonatal outcomes of pregnant women with COVID-19 pneumonia: a case-control study"
28,cluster_28,"prognosis_d-dimer_crp_markers_lymphocytes
patients_enrolled_one_patient
admission_hospitalization_hospitalized_survival_died","Epidemiological and clinical features of 291 cases with coronavirus disease 2019 in areas adjacent to Hubei, China: a double-center observational study
Clinical efficacy of intravenous immunoglobulin therapy in critical patients with COVID-19: A multicenter retrospective cohort study","Myocardial injury is associated with in-hospital mortality of confirmed or suspected COVID-19 in Wuhan, China: A single center retrospective cohort study
Alpha-1 adrenergic receptor antagonists for preventing acute respiratory
  distress syndrome and death from cytokine storm syndrome"
29,cluster_29,"admission_hospitalization_hospitalized_survival_died
risk_factors_comorbidities_males_diabetes_smoking
patients_enrolled_one_patient",CLINICAL CHARACTERISTICS AND PROGNOSTIC FACTORS FOR ICU ADMISSION OF PATIENTS WITH COVID-19 USING MACHINE LEARNING AND NATURAL LANGUAGE PROCESSING,"Early estimation of the risk factors for hospitalisation and mortality by COVID-19 in Mexico
SARS-CoV-2 lethality decreased over time in two Italian Provinces"
30,cluster_30,"healthcare_workers_hcws_workers_working_ppe
care_services_inpatient_diagnoses_mexico
antibodies_antibody_igg_igm_sera",Estimating the burden of United States workers exposed to infection or disease: a key factor in containing risk of COVID-19 infection,"ESTIMATING COVID-19 INFECTIONS IN HOSPITAL WORKERS IN THE UNITED STATES
Prevalence of SARS-CoV-2 infection in previously undiagnosed health care workers at the onset of the U.S. COVID-19 epidemic"
